Tyre Life Span (Years),Tyre Life in Kilometers,Tyre Width,Required Tyre Pressure,Maximum Safe Tyre Speed,Tyre Brand/Company,Tyre Load Capacity (kg),Tyre Position,Tread Depth (mm),Tyre Temperature (°C),Tyre Type,Seasonal Type,Speed Index,Load Index,Manufacturing Date,Wheel Alignment History,Road Condition Usage,Last Rotation Date,Vehicle Type Compatibility,Tyre Noise Level (dB),TPMS Pressure,TPMS Temperature,Leak Detection,Tread Wear Pattern,Mileage Since Installation,Expected Replacement Date
6,63590,175,31,219,MRF,669,Rear Left,5.5,47,Tubeless,Winter,W,99,2024-09-29,Good,Off-road,2024-08-12,Truck,73.2,29,79,No,Even,20219,2030-09-28
6,31341,185,32,190,Apollo,678,Front Left,7.8,51,Tubeless,Winter,W,86,2025-04-12,Good,Mixed,2025-04-17,SUV,66.7,32,36,No,Inner,19320,2031-04-11
4,64661,175,31,213,Bridgestone,705,Rear Left,5.2,29,Tubeless,All-season,H,95,2023-08-10,Good,City,2025-06-18,Sedan,74.7,31,31,Yes,Center,49395,2027-08-09
6,56173,165,35,209,Continental,583,Rear Right,7.1,77,Tubeless,All-season,W,92,2020-09-06,Good,City,2025-01-09,Sedan,71.2,29,56,No,Outer,28630,2026-09-05
4,64986,175,31,229,Apollo,733,Rear Left,5.4,29,Tube-type,Summer,H,106,2024-04-27,Good,Mixed,2024-10-22,Truck,68.6,29,49,Yes,Center,36601,2028-04-26
3,49974,225,31,201,Goodyear,438,Front Left,4.2,27,Tubeless,All-season,W,107,2024-03-06,Misaligned,City,2025-01-28,Truck,74.0,35,42,Yes,Even,43307,2027-03-06
4,36410,175,31,202,Michelin,513,Rear Left,6.8,79,Tubeless,All-season,H,89,2022-08-27,Needs Check,Mixed,2024-11-04,SUV,69.7,31,37,Yes,Even,31492,2026-08-26
4,71494,225,30,203,Apollo,609,Rear Right,5.8,72,Tubeless,Summer,T,109,2023-01-24,Misaligned,City,2024-09-17,Sedan,66.5,35,52,Yes,Outer,10071,2027-01-23
7,75104,225,31,239,MRF,568,Front Right,3.5,64,Tubeless,All-season,V,93,2023-03-01,Good,Highway,2024-12-18,Truck,67.0,34,75,Yes,Even,3558,2030-02-27
7,60384,225,34,216,Apollo,630,Rear Right,7.6,62,Tubeless,Summer,T,101,2023-07-09,Misaligned,Highway,2024-09-25,SUV,70.4,29,33,No,Inner,35978,2030-07-07
3,54826,195,33,183,Bridgestone,690,Rear Left,2.0,36,Tubeless,Summer,V,98,2022-06-16,Needs Check,Mixed,2024-10-26,SUV,74.7,29,71,Yes,Even,33667,2025-06-15
7,79852,225,34,183,Pirelli,595,Front Left,5.5,59,Tube-type,All-season,Y,110,2023-04-01,Good,Mixed,2025-03-26,Truck,69.9,33,32,No,Outer,54665,2030-03-30
6,45589,225,32,196,Goodyear,647,Rear Right,7.6,72,Tubeless,Summer,Y,91,2021-10-20,Needs Check,Highway,2025-04-15,SUV,68.1,33,56,Yes,Center,21754,2027-10-19
5,73052,215,30,193,Michelin,473,Rear Left,4.9,77,Tubeless,Summer,H,90,2021-09-30,Good,Highway,2024-07-30,Hatchback,66.6,30,40,Yes,Inner,29335,2026-09-29
7,62388,195,34,196,Pirelli,627,Front Right,3.3,78,Tubeless,Summer,W,102,2022-04-30,Misaligned,Highway,2024-08-07,Hatchback,74.9,34,55,No,Inner,57954,2029-04-28
4,35159,185,31,237,Continental,648,Front Right,6.6,67,Tube-type,All-season,H,93,2021-03-20,Misaligned,Highway,2025-05-22,Sedan,73.5,28,42,No,Outer,12598,2025-03-19
4,39484,175,33,200,Pirelli,498,Front Right,8.0,65,Tubeless,All-season,W,97,2023-02-14,Needs Check,Highway,2024-12-09,Sedan,70.8,32,39,No,Even,37209,2027-02-13
6,43760,185,33,194,MRF,480,Rear Right,3.6,34,Tubeless,All-season,Y,110,2024-11-20,Good,City,2025-05-09,Sedan,68.9,32,49,Yes,Center,41472,2030-11-19
3,78315,165,30,198,MRF,689,Rear Left,5.0,71,Tubeless,Winter,V,101,2023-05-21,Misaligned,City,2024-12-03,SUV,65.7,31,31,No,Inner,46707,2026-05-20
3,41617,205,33,218,Goodyear,638,Front Right,3.0,74,Tubeless,Winter,V,104,2021-06-01,Misaligned,City,2025-03-05,Sedan,65.5,35,28,No,Inner,7385,2024-05-31
4,60896,215,34,222,Bridgestone,784,Rear Right,7.6,53,Tube-type,All-season,T,86,2023-02-23,Good,Highway,2025-04-07,Sedan,69.9,28,43,No,Outer,20552,2027-02-22
6,58258,205,34,192,Continental,487,Rear Right,2.1,30,Tube-type,Summer,V,110,2024-07-23,Misaligned,City,2025-04-28,Sedan,65.4,30,30,Yes,Inner,1226,2030-07-22
7,73066,225,31,232,Goodyear,543,Front Left,2.4,74,Tube-type,All-season,Y,109,2024-11-01,Needs Check,Mixed,2024-10-06,SUV,65.2,36,33,Yes,Even,53484,2031-10-31
3,48166,225,33,229,MRF,725,Rear Left,5.8,77,Tube-type,Summer,H,105,2023-03-25,Misaligned,City,2024-09-24,Truck,67.4,36,29,Yes,Inner,24047,2026-03-24
7,49456,165,32,199,Apollo,586,Rear Right,4.6,72,Tubeless,Winter,T,105,2024-08-02,Needs Check,Off-road,2024-11-18,Sedan,68.3,30,61,Yes,Outer,38302,2031-08-01
3,78716,185,35,237,Michelin,572,Rear Left,6.1,47,Tubeless,Summer,H,92,2024-03-21,Good,Off-road,2024-11-21,Hatchback,69.4,30,55,Yes,Even,28719,2027-03-21
6,78531,225,35,186,Continental,670,Front Left,5.5,75,Tubeless,Winter,V,95,2024-12-09,Good,Highway,2025-04-16,SUV,66.5,29,63,No,Center,3042,2030-12-08
7,33922,165,31,185,Michelin,414,Front Left,5.8,80,Tube-type,Summer,H,82,2022-08-31,Good,Off-road,2024-11-30,Hatchback,68.9,29,45,Yes,Outer,32957,2029-08-29
4,49567,195,32,234,Continental,656,Front Right,2.7,73,Tubeless,Winter,Y,83,2021-04-05,Misaligned,Mixed,2025-04-10,Truck,73.4,33,76,No,Inner,45127,2025-04-04
4,37130,195,35,192,Continental,633,Front Left,6.4,76,Tube-type,Winter,T,98,2025-03-02,Misaligned,Off-road,2025-03-08,Truck,74.4,35,53,Yes,Even,36042,2029-03-01
6,48373,205,31,188,Continental,702,Front Right,2.7,64,Tubeless,All-season,V,103,2023-02-04,Misaligned,Highway,2024-08-15,SUV,67.0,35,26,No,Center,24987,2029-02-02
4,65445,185,35,200,MRF,509,Rear Left,3.8,59,Tubeless,Summer,W,107,2023-12-25,Good,Off-road,2025-02-05,Truck,67.0,36,79,Yes,Outer,3181,2027-12-24
3,71442,195,30,223,Bridgestone,480,Rear Right,7.2,46,Tube-type,Winter,Y,85,2020-12-10,Needs Check,Mixed,2024-12-04,SUV,74.8,30,62,No,Even,52790,2023-12-10
7,71513,225,33,200,Pirelli,656,Front Left,2.5,33,Tubeless,Summer,T,93,2023-03-02,Needs Check,City,2025-06-09,Truck,72.9,29,56,Yes,Center,31548,2030-02-28
7,35410,195,33,238,Bridgestone,770,Rear Right,7.8,78,Tubeless,All-season,H,83,2024-08-27,Needs Check,Highway,2025-05-27,Hatchback,70.0,30,65,Yes,Inner,11755,2031-08-26
5,57182,205,35,232,Pirelli,600,Front Right,7.0,48,Tube-type,Summer,Y,91,2024-01-22,Needs Check,Highway,2024-10-26,SUV,69.9,33,44,No,Center,7429,2029-01-20
7,59017,225,30,234,Pirelli,767,Front Right,2.3,43,Tubeless,All-season,V,105,2023-11-16,Needs Check,Mixed,2025-01-28,Truck,70.6,33,36,Yes,Outer,3664,2030-11-14
5,64775,185,30,189,Bridgestone,668,Front Left,3.7,57,Tubeless,Summer,V,91,2023-03-27,Good,Mixed,2025-05-08,Truck,72.9,32,50,Yes,Center,52896,2028-03-25
6,49754,195,32,181,Pirelli,619,Rear Left,2.1,74,Tube-type,Winter,V,93,2025-02-09,Needs Check,Mixed,2025-05-16,Truck,71.6,29,75,No,Outer,23402,2031-02-08
3,52111,205,31,226,Continental,511,Front Left,7.8,72,Tube-type,All-season,W,88,2020-08-23,Needs Check,Off-road,2025-02-11,SUV,71.0,30,43,Yes,Inner,16696,2023-08-23
7,34401,225,34,206,Apollo,425,Rear Right,6.7,32,Tube-type,Summer,Y,101,2022-12-25,Misaligned,Off-road,2024-11-21,SUV,72.5,28,72,Yes,Center,30559,2029-12-23
5,50646,205,33,198,MRF,756,Front Left,4.1,72,Tubeless,Summer,Y,97,2022-07-22,Good,City,2025-03-08,Sedan,67.5,36,57,No,Center,40226,2027-07-21
6,34512,195,35,201,Bridgestone,760,Rear Right,6.5,70,Tubeless,Summer,Y,107,2023-01-04,Needs Check,City,2025-01-22,Sedan,69.5,29,39,Yes,Inner,22526,2029-01-02
7,78733,225,30,194,Michelin,640,Rear Right,2.4,43,Tube-type,Winter,W,83,2024-12-10,Misaligned,Highway,2024-08-08,Hatchback,70.5,33,29,Yes,Even,42306,2031-12-09
6,63990,215,35,193,Continental,754,Rear Right,3.2,54,Tubeless,All-season,W,97,2022-05-26,Good,Highway,2025-05-06,Truck,69.2,33,28,No,Outer,39603,2028-05-24
4,62336,205,34,213,Goodyear,722,Front Right,2.2,39,Tube-type,Winter,Y,84,2024-09-14,Needs Check,City,2025-01-01,Truck,69.3,33,30,No,Center,18484,2028-09-13
7,74208,205,32,209,Apollo,688,Rear Right,4.7,78,Tubeless,Summer,H,87,2023-06-14,Misaligned,Highway,2025-06-21,Truck,73.0,29,67,No,Center,30906,2030-06-12
4,32091,175,32,184,Apollo,550,Front Right,6.5,34,Tube-type,All-season,V,97,2021-01-31,Misaligned,Mixed,2025-06-11,Sedan,65.7,33,30,Yes,Inner,4650,2025-01-30
7,36250,185,30,227,MRF,534,Front Left,5.3,34,Tube-type,Summer,T,83,2025-04-16,Needs Check,City,2024-09-05,SUV,66.5,31,50,Yes,Outer,35863,2032-04-14
7,51247,175,31,227,Goodyear,673,Rear Left,6.0,53,Tube-type,Winter,T,88,2023-01-31,Good,City,2024-09-24,Truck,66.8,32,79,Yes,Center,3194,2030-01-29
7,38215,165,31,185,Pirelli,493,Front Left,6.0,59,Tube-type,Winter,Y,109,2021-05-06,Good,City,2025-05-15,Hatchback,74.5,31,76,No,Inner,17582,2028-05-04
6,65623,175,33,189,Goodyear,581,Front Right,3.5,68,Tube-type,Winter,Y,98,2024-11-10,Needs Check,Highway,2025-04-07,SUV,65.3,31,35,Yes,Inner,32627,2030-11-09
6,33091,185,30,205,Pirelli,525,Rear Left,4.7,38,Tubeless,Winter,W,84,2023-05-25,Needs Check,Off-road,2024-08-02,SUV,70.5,28,67,No,Even,9487,2029-05-23
3,72420,225,31,221,Pirelli,734,Rear Right,5.2,63,Tube-type,Summer,Y,108,2024-11-09,Needs Check,Off-road,2024-10-17,Sedan,67.8,35,76,No,Inner,18710,2027-11-09
7,71911,185,35,211,Apollo,726,Rear Left,4.3,49,Tubeless,All-season,V,86,2020-09-20,Good,Mixed,2025-02-08,Hatchback,70.1,28,30,No,Inner,63918,2027-09-19
4,47192,205,31,192,Apollo,498,Front Left,7.4,80,Tube-type,Winter,T,105,2022-02-10,Misaligned,Mixed,2024-11-23,Truck,66.4,29,48,No,Outer,2690,2026-02-09
4,33549,205,34,224,Apollo,689,Front Right,2.9,57,Tube-type,All-season,T,109,2024-04-19,Good,Off-road,2025-03-31,Hatchback,72.6,30,50,Yes,Inner,13773,2028-04-18
4,78572,205,34,213,Apollo,462,Rear Right,4.7,69,Tube-type,Summer,Y,87,2021-08-06,Misaligned,City,2025-04-30,SUV,72.9,31,57,No,Inner,7849,2025-08-05
6,68161,185,34,212,Continental,567,Front Left,2.7,66,Tubeless,Winter,Y,103,2021-07-04,Needs Check,Off-road,2025-02-16,Hatchback,70.1,35,35,Yes,Even,39790,2027-07-03
7,48042,195,35,194,Bridgestone,580,Rear Right,7.7,67,Tube-type,Winter,V,95,2023-10-04,Needs Check,Off-road,2025-04-09,Hatchback,70.3,28,25,Yes,Outer,35693,2030-10-02
6,68428,225,34,236,Bridgestone,648,Rear Left,2.2,38,Tubeless,All-season,T,102,2022-06-18,Needs Check,City,2024-07-27,Truck,72.6,33,77,Yes,Even,3172,2028-06-16
4,64874,215,31,207,Apollo,721,Front Right,3.3,44,Tubeless,All-season,W,110,2022-01-26,Misaligned,Highway,2025-01-09,Sedan,65.6,32,25,Yes,Inner,28670,2026-01-25
6,30630,185,33,222,Goodyear,548,Rear Left,7.6,53,Tubeless,All-season,H,80,2023-08-26,Good,Highway,2025-03-05,Hatchback,71.7,34,31,No,Outer,26446,2029-08-24
7,68720,205,35,187,Continental,619,Rear Right,4.3,32,Tubeless,Summer,V,91,2021-04-20,Misaligned,Highway,2024-09-19,SUV,72.4,34,63,Yes,Even,25271,2028-04-18
7,34160,215,30,188,Michelin,587,Front Left,2.9,59,Tube-type,Summer,H,108,2023-06-13,Misaligned,City,2025-05-23,SUV,72.7,31,74,No,Outer,708,2030-06-11
3,61210,175,34,187,Apollo,595,Rear Right,7.7,55,Tube-type,Summer,W,87,2023-06-19,Needs Check,Highway,2024-10-23,SUV,69.4,33,40,Yes,Even,46905,2026-06-18
5,34524,215,34,203,Bridgestone,593,Rear Left,6.8,35,Tubeless,All-season,T,102,2021-10-17,Misaligned,Mixed,2024-11-09,Sedan,65.2,36,56,Yes,Even,6358,2026-10-16
4,57522,215,31,225,Continental,440,Rear Left,3.3,53,Tube-type,Summer,Y,101,2020-12-28,Needs Check,Off-road,2024-10-13,Truck,73.3,33,72,No,Center,48598,2024-12-27
6,53145,225,33,219,Continental,762,Front Right,4.5,59,Tube-type,Winter,H,99,2022-11-15,Needs Check,City,2024-11-22,Sedan,73.3,28,49,Yes,Inner,52209,2028-11-13
3,34990,185,31,183,MRF,619,Front Right,7.0,30,Tube-type,Winter,V,86,2023-01-19,Needs Check,Off-road,2025-06-02,SUV,65.8,36,65,No,Even,5367,2026-01-18
3,44749,175,35,238,Pirelli,800,Rear Left,7.5,32,Tube-type,All-season,W,96,2023-01-07,Misaligned,Highway,2024-09-23,Truck,65.5,33,34,No,Outer,29949,2026-01-06
3,71788,215,32,193,Apollo,405,Front Left,4.9,62,Tubeless,Winter,Y,103,2021-10-03,Misaligned,Mixed,2024-11-27,SUV,71.4,35,42,No,Outer,12745,2024-10-02
4,61503,205,30,231,Bridgestone,663,Front Left,5.8,47,Tubeless,All-season,H,89,2022-12-13,Needs Check,Off-road,2025-01-30,Sedan,65.8,34,73,Yes,Center,8209,2026-12-12
3,79606,195,32,234,Continental,686,Front Left,7.7,66,Tubeless,All-season,T,96,2023-10-22,Needs Check,City,2024-09-18,Hatchback,74.6,30,67,Yes,Center,69358,2026-10-21
3,59673,185,34,222,Michelin,531,Rear Right,3.4,69,Tubeless,Summer,V,80,2021-03-02,Misaligned,City,2024-08-16,Sedan,74.8,35,57,No,Center,33078,2024-03-01
7,75794,185,33,217,Bridgestone,705,Front Right,6.4,53,Tube-type,All-season,H,84,2021-01-07,Needs Check,Off-road,2025-05-22,Truck,69.4,31,63,Yes,Even,9080,2028-01-06
6,75920,175,34,219,Pirelli,705,Rear Right,6.3,50,Tubeless,Winter,W,82,2023-07-21,Misaligned,Mixed,2025-01-17,Truck,70.4,29,67,Yes,Center,31392,2029-07-19
7,68826,195,35,230,Goodyear,512,Front Right,2.4,67,Tube-type,Summer,Y,93,2021-03-20,Misaligned,Highway,2024-08-30,Hatchback,68.2,29,42,Yes,Outer,5531,2028-03-18
6,62790,205,33,218,Pirelli,606,Front Right,6.0,74,Tube-type,Summer,Y,94,2025-03-26,Misaligned,Off-road,2024-10-24,Sedan,67.6,32,59,Yes,Even,1478,2031-03-25
6,35960,225,31,211,Goodyear,717,Front Right,2.3,67,Tube-type,Winter,H,101,2021-03-05,Good,Highway,2025-05-08,Sedan,65.5,28,46,Yes,Inner,29407,2027-03-04
5,58806,165,31,231,Continental,675,Rear Right,6.1,54,Tubeless,Winter,H,87,2021-08-09,Needs Check,Highway,2024-08-01,SUV,70.7,29,58,Yes,Outer,15794,2026-08-08
5,56272,185,35,201,Goodyear,479,Rear Left,5.7,53,Tubeless,Winter,H,108,2024-09-17,Misaligned,Mixed,2024-11-11,Hatchback,71.2,35,70,Yes,Even,30967,2029-09-16
7,78277,215,34,231,MRF,777,Rear Right,3.5,30,Tubeless,Summer,W,87,2024-10-30,Good,City,2025-02-13,Hatchback,73.3,31,44,No,Even,62047,2031-10-29
4,55521,195,30,186,Goodyear,750,Rear Right,7.4,63,Tube-type,All-season,T,96,2022-01-17,Misaligned,Off-road,2025-03-25,Hatchback,71.9,36,53,Yes,Even,24720,2026-01-16
7,35727,175,31,230,Bridgestone,745,Front Left,4.3,64,Tube-type,Winter,H,96,2021-03-29,Needs Check,Highway,2024-10-03,Sedan,68.0,31,77,Yes,Outer,16071,2028-03-27
5,36304,195,32,184,Continental,429,Front Right,5.0,75,Tube-type,Summer,W,106,2022-08-09,Needs Check,City,2025-01-28,Hatchback,73.4,34,47,No,Inner,14049,2027-08-08
6,42821,225,33,203,Bridgestone,593,Rear Left,3.4,68,Tubeless,All-season,V,102,2020-08-20,Needs Check,Highway,2025-04-13,Sedan,70.0,29,59,Yes,Outer,9870,2026-08-19
7,58166,225,32,197,Apollo,423,Front Left,7.4,28,Tube-type,All-season,W,106,2024-09-22,Misaligned,Off-road,2025-05-26,Truck,69.8,28,30,No,Even,27180,2031-09-21
5,77744,165,32,213,Goodyear,431,Rear Left,4.9,46,Tube-type,Summer,W,86,2021-08-02,Misaligned,City,2025-02-19,Sedan,70.7,33,27,No,Inner,17559,2026-08-01
5,60741,175,32,228,Bridgestone,794,Front Right,4.0,26,Tube-type,All-season,W,80,2022-03-10,Good,Off-road,2025-04-27,SUV,69.0,35,49,No,Center,32203,2027-03-09
6,53001,185,35,231,Bridgestone,646,Rear Right,6.4,50,Tube-type,Summer,H,91,2022-11-22,Good,Mixed,2025-04-09,Hatchback,73.8,29,53,No,Inner,19857,2028-11-20
6,76439,225,35,206,Pirelli,498,Front Right,2.5,33,Tubeless,Summer,V,94,2020-10-30,Good,Mixed,2025-04-12,Sedan,71.4,33,57,No,Center,15518,2026-10-29
6,62435,165,32,184,Continental,658,Rear Right,4.6,54,Tubeless,All-season,H,107,2024-03-07,Good,Mixed,2025-02-22,Hatchback,66.3,34,48,Yes,Inner,31104,2030-03-06
5,34160,215,30,205,Goodyear,485,Front Left,3.0,49,Tube-type,Winter,W,87,2020-09-30,Good,Mixed,2024-12-23,Truck,67.3,31,38,No,Inner,17430,2025-09-29
7,75992,175,33,185,Continental,449,Front Right,4.7,54,Tubeless,All-season,Y,90,2020-10-26,Needs Check,Off-road,2024-08-26,Sedan,74.3,36,62,No,Outer,14027,2027-10-25
6,65669,215,32,202,Pirelli,499,Rear Right,3.8,32,Tubeless,Summer,T,95,2022-07-18,Misaligned,Mixed,2024-12-26,Sedan,66.3,35,68,No,Center,57414,2028-07-16
5,71485,215,35,188,MRF,760,Front Left,7.8,80,Tubeless,All-season,Y,94,2024-05-04,Misaligned,Highway,2025-01-15,Sedan,65.4,36,72,Yes,Even,21715,2029-05-03
3,34746,205,30,203,Apollo,589,Rear Left,5.7,37,Tubeless,Summer,Y,109,2022-07-20,Good,City,2025-05-21,Hatchback,66.8,28,76,Yes,Inner,24546,2025-07-19
3,50846,215,30,232,Continental,457,Front Right,5.3,74,Tubeless,Winter,V,86,2021-04-07,Good,Highway,2024-12-23,SUV,73.6,34,43,No,Center,26926,2024-04-06
5,31210,225,31,196,MRF,484,Rear Right,7.7,52,Tube-type,Summer,T,81,2021-01-04,Needs Check,Highway,2025-04-14,Truck,71.9,32,52,No,Inner,25071,2026-01-03
5,44228,165,35,191,Bridgestone,776,Rear Left,5.8,74,Tube-type,Summer,W,88,2024-10-25,Good,Highway,2025-01-23,SUV,71.3,31,29,Yes,Outer,16449,2029-10-24
3,48461,175,33,192,Pirelli,580,Rear Right,3.2,56,Tubeless,Summer,W,93,2023-07-21,Good,Off-road,2024-09-28,Truck,67.5,31,79,No,Center,37404,2026-07-20
5,44215,185,35,188,Bridgestone,584,Front Left,2.9,61,Tube-type,Summer,T,99,2024-03-12,Good,Mixed,2024-11-21,Hatchback,73.7,34,25,Yes,Center,34458,2029-03-11
7,33318,175,34,213,Michelin,557,Front Left,5.8,33,Tubeless,Winter,Y,105,2022-11-19,Misaligned,Highway,2024-08-06,SUV,70.3,29,39,Yes,Even,7634,2029-11-17
5,34367,205,30,181,Continental,567,Rear Right,3.0,75,Tube-type,All-season,T,88,2021-03-03,Good,Highway,2024-08-05,Truck,70.9,33,48,Yes,Even,6081,2026-03-02
7,74282,185,32,231,Apollo,711,Front Right,4.7,52,Tube-type,Winter,H,101,2023-03-12,Good,Highway,2024-09-24,Sedan,65.0,30,35,No,Inner,29293,2030-03-10
7,66919,215,33,206,Pirelli,510,Rear Right,4.5,52,Tubeless,Summer,Y,95,2025-01-21,Misaligned,Highway,2025-01-30,Truck,71.3,36,74,Yes,Center,50468,2032-01-20
4,72756,165,30,205,Michelin,425,Front Right,5.6,67,Tube-type,All-season,W,97,2023-05-22,Misaligned,City,2025-05-07,Hatchback,70.1,29,49,Yes,Even,23249,2027-05-21
7,72082,225,34,202,Goodyear,710,Front Left,5.0,75,Tubeless,All-season,Y,108,2022-08-23,Good,Off-road,2025-04-13,Sedan,67.6,30,35,No,Center,7983,2029-08-21
5,53621,215,31,209,Pirelli,693,Front Left,4.1,54,Tube-type,Summer,T,85,2023-11-08,Misaligned,Mixed,2025-02-04,Sedan,72.2,29,34,Yes,Inner,50975,2028-11-06
5,41576,185,34,189,Apollo,446,Front Right,7.2,59,Tubeless,Winter,H,80,2023-08-28,Needs Check,Off-road,2025-06-20,Hatchback,71.3,36,38,No,Center,32520,2028-08-26
4,54104,185,34,207,Goodyear,447,Front Right,3.9,74,Tube-type,All-season,Y,86,2023-08-31,Misaligned,Off-road,2025-05-11,Hatchback,72.3,28,78,Yes,Outer,29220,2027-08-30
3,71765,175,32,216,Apollo,775,Rear Left,7.0,68,Tubeless,All-season,T,83,2022-03-02,Misaligned,Off-road,2024-08-09,Hatchback,71.3,34,79,No,Inner,39203,2025-03-01
7,52237,195,30,230,Continental,646,Rear Left,7.2,35,Tubeless,Summer,T,82,2023-01-21,Needs Check,Off-road,2025-05-28,Sedan,74.1,36,46,Yes,Outer,47877,2030-01-19
7,57168,175,30,197,Apollo,633,Front Left,7.3,32,Tube-type,Winter,T,101,2021-09-24,Misaligned,Off-road,2025-05-22,Hatchback,65.8,31,71,No,Outer,44495,2028-09-22
5,45680,225,33,204,Bridgestone,673,Rear Left,3.0,47,Tube-type,All-season,V,93,2023-04-27,Good,Off-road,2024-09-03,Sedan,72.2,31,32,Yes,Outer,5427,2028-04-25
5,57162,205,31,220,Michelin,523,Rear Left,7.9,38,Tubeless,Winter,Y,101,2021-05-08,Good,Mixed,2024-12-31,Hatchback,74.8,29,29,No,Inner,31893,2026-05-07
3,30357,215,30,196,MRF,592,Front Left,3.8,65,Tube-type,Winter,W,94,2022-12-18,Misaligned,City,2024-08-16,Hatchback,74.4,36,80,Yes,Outer,9257,2025-12-17
3,79839,185,32,240,Goodyear,574,Rear Right,4.6,77,Tube-type,Summer,Y,99,2022-09-15,Misaligned,Highway,2025-03-06,SUV,72.1,34,79,No,Center,21378,2025-09-14
5,77800,175,33,213,Michelin,613,Rear Left,3.1,56,Tubeless,All-season,W,109,2025-04-03,Good,Highway,2025-04-06,Sedan,65.9,36,40,No,Center,8730,2030-04-02
5,70757,165,33,194,Pirelli,614,Rear Left,6.7,71,Tube-type,All-season,Y,110,2022-03-01,Needs Check,Highway,2024-08-05,Sedan,66.5,32,31,Yes,Outer,4707,2027-02-28
6,42172,185,30,196,Pirelli,545,Rear Right,5.5,28,Tube-type,Summer,V,92,2024-03-30,Misaligned,City,2025-06-14,Truck,71.1,29,33,Yes,Outer,8131,2030-03-29
7,44304,205,31,226,Apollo,499,Front Left,7.2,76,Tube-type,Summer,W,89,2024-11-14,Good,Highway,2025-06-09,Hatchback,74.2,28,68,No,Outer,19334,2031-11-13
4,36826,165,30,190,Michelin,594,Rear Left,7.9,77,Tubeless,Summer,H,92,2021-06-01,Good,Mixed,2024-12-03,SUV,70.8,35,26,Yes,Outer,36267,2025-05-31
3,61062,205,34,212,Michelin,466,Rear Right,4.1,33,Tubeless,All-season,Y,105,2021-03-20,Misaligned,Mixed,2025-06-08,Truck,74.9,31,44,No,Outer,33422,2024-03-19
3,52085,185,33,240,Apollo,469,Rear Right,3.3,62,Tubeless,Winter,H,89,2021-04-01,Misaligned,Highway,2025-05-31,Sedan,74.9,30,43,Yes,Center,279,2024-03-31
4,33120,185,32,183,Goodyear,459,Rear Right,5.8,40,Tubeless,Summer,H,110,2024-09-10,Needs Check,City,2024-08-12,Truck,65.9,35,72,No,Center,31616,2028-09-09
7,52729,185,32,234,Goodyear,800,Rear Left,6.0,68,Tube-type,Summer,W,109,2022-12-05,Needs Check,Highway,2025-03-25,Sedan,74.3,30,75,Yes,Even,17841,2029-12-03
